airline_id,departureDate,departureAirport_id,arrivalAirport_id,duration,price,availability
1,02/09/2015 18:00,2,1,4,500,Available
1,02/09/2015 18:00,3,1,4,500,Available
1,02/09/2015 18:00,4,1,4,500,Available
1,02/09/2015 18:00,5,1,4,500,Available
1,02/09/2015 18:00,6,1,4,500,Available
1,02/09/2015 18:00,7,1,4,500,Available
1,02/09/2015 18:00,8,1,4,500,Available
1,02/09/2015 18:00,9,1,4,500,Available
1,02/09/2015 18:00,10,1,4,500,Available
1,02/09/2015 18:00,1,2,4,500,Available
1,02/09/2015 12:30,3,2,4,500,Available
1,02/09/2015 12:30,4,2,4,500,Available
1,02/09/2015 12:30,5,2,4,500,Available
1,02/09/2015 12:30,6,2,4,500,Available
1,02/09/2015 12:30,7,2,4,500,Available
1,02/09/2015 12:30,8,2,4,500,Available
1,02/09/2015 12:30,9,2,4,500,Available
1,02/09/2015 12:30,10,2,4,500,Available
1,02/09/2015 12:30,1,3,4,500,Available
1,02/09/2015 12:30,2,3,4,500,Available
1,02/09/2015 15:00,4,3,4,500,Available
1,02/09/2015 15:00,5,3,4,500,Available
1,02/09/2015 15:00,6,3,4,500,Available
1,02/09/2015 15:00,7,3,4,500,Available
1,02/09/2015 15:00,8,3,4,500,Available
1,02/09/2015 15:00,9,3,4,500,Available
1,02/09/2015 15:00,10,3,4,500,Available
1,02/09/2015 15:00,1,4,4,500,Available
1,02/09/2015 15:00,2,4,4,500,Available
1,02/09/2015 15:00,3,4,4,500,Available
1,02/09/2015 15:30,5,4,4,500,Available
1,02/09/2015 15:30,6,4,4,500,Available
1,02/09/2015 15:30,7,4,4,500,Available
1,02/09/2015 15:30,8,4,4,500,Available
1,02/09/2015 15:30,9,4,4,500,Available
1,02/09/2015 15:30,10,4,4,500,Available
1,02/09/2015 15:30,1,5,4,500,Available
1,02/09/2015 15:30,2,5,4,500,Available
1,02/09/2015 15:30,3,5,4,500,Available
1,02/09/2015 15:30,4,5,4,500,Available
1,02/09/2015 16:00,6,5,4,500,Available
1,02/09/2015 16:00,7,5,4,500,Available
1,02/09/2015 16:00,8,5,4,500,Available
1,02/09/2015 16:00,9,5,4,500,Available
1,02/09/2015 16:00,10,5,4,500,Available
1,02/09/2015 16:00,1,6,4,500,Available
1,02/09/2015 16:00,2,6,4,500,Available
1,02/09/2015 16:00,3,6,4,500,Available
1,02/09/2015 16:00,4,6,4,500,Available
1,02/09/2015 16:00,5,6,4,500,Available
1,02/09/2015 16:30,7,6,4,500,Available
1,02/09/2015 16:30,8,6,4,500,Available
1,02/09/2015 16:30,9,6,4,500,Available
1,02/09/2015 16:30,10,6,4,500,Available
1,02/09/2015 16:30,1,7,4,500,Available
1,02/09/2015 16:30,2,7,4,500,Available
1,02/09/2015 16:30,3,7,4,500,Available
1,02/09/2015 16:30,4,7,4,500,Available
1,02/09/2015 16:30,5,7,4,500,Available
1,02/09/2015 16:30,6,7,4,500,Available
1,02/09/2015 21:00,8,7,4,500,Available
1,02/09/2015 21:00,9,7,4,500,Available
1,02/09/2015 21:00,10,7,4,500,Available
1,02/09/2015 21:00,1,8,4,500,Available
1,02/09/2015 21:00,2,8,4,500,Available
1,02/09/2015 21:00,3,8,4,500,Available
1,02/09/2015 21:00,4,8,4,500,Available
1,02/09/2015 21:00,5,8,4,500,Available
1,02/09/2015 21:00,6,8,4,500,Available
1,02/09/2015 21:00,7,8,4,500,Available
1,02/09/2015 22:30,9,8,4,500,Available
1,02/09/2015 22:30,10,8,4,500,Available
1,02/09/2015 22:30,1,9,4,500,Available
1,02/09/2015 22:30,2,9,4,500,Available
1,02/09/2015 22:30,3,9,4,500,Available
1,02/09/2015 22:30,4,9,4,500,Available
1,02/09/2015 22:30,5,9,4,500,Available
1,02/09/2015 22:30,6,9,4,500,Available
1,02/09/2015 22:30,7,9,4,500,Available
1,02/09/2015 22:30,8,9,4,500,Available
1,02/09/2015 22:00,10,9,4,500,Available
1,02/09/2015 22:00,1,10,4,500,Available
1,02/09/2015 22:00,2,10,4,500,Available
1,02/09/2015 22:00,3,10,4,500,Available
1,02/09/2015 22:00,4,10,4,500,Available
1,02/09/2015 22:00,5,10,4,500,Available
1,02/09/2015 22:00,6,10,4,500,Available
1,02/09/2015 22:00,7,10,4,500,Available
1,02/09/2015 22:00,8,10,4,500,Available
1,02/09/2015 22:00,9,10,4,500,Available
1,04/09/2015 18:00,2,1,4,500,Available
1,04/09/2015 18:00,3,1,4,500,Available
1,04/09/2015 18:00,4,1,4,500,Available
1,04/09/2015 18:00,5,1,4,500,Available
1,04/09/2015 18:00,6,1,4,500,Available
1,04/09/2015 18:00,7,1,4,500,Available
1,04/09/2015 18:00,8,1,4,500,Available
1,04/09/2015 18:00,9,1,4,500,Available
1,04/09/2015 18:00,10,1,4,500,Available
1,04/09/2015 18:00,1,2,4,500,Available
1,04/09/2015 12:30,3,2,4,500,Available
1,04/09/2015 12:30,4,2,4,500,Available
1,04/09/2015 12:30,5,2,4,500,Available
1,04/09/2015 12:30,6,2,4,500,Available
1,04/09/2015 12:30,7,2,4,500,Available
1,04/09/2015 12:30,8,2,4,500,Available
1,04/09/2015 12:30,9,2,4,500,Available
1,04/09/2015 12:30,10,2,4,500,Available
1,04/09/2015 12:30,1,3,4,500,Available
1,04/09/2015 12:30,2,3,4,500,Available
1,04/09/2015 15:00,4,3,4,500,Available
1,04/09/2015 15:00,5,3,4,500,Available
1,04/09/2015 15:00,6,3,4,500,Available
1,04/09/2015 15:00,7,3,4,500,Available
1,04/09/2015 15:00,8,3,4,500,Available
1,04/09/2015 15:00,9,3,4,500,Available
1,04/09/2015 15:00,10,3,4,500,Available
1,04/09/2015 15:00,1,4,4,500,Available
1,04/09/2015 15:00,2,4,4,500,Available
1,04/09/2015 15:00,3,4,4,500,Available
1,04/09/2015 15:30,5,4,4,500,Available
1,04/09/2015 15:30,6,4,4,500,Available
1,04/09/2015 15:30,7,4,4,500,Available
1,04/09/2015 15:30,8,4,4,500,Available
1,04/09/2015 15:30,9,4,4,500,Available
1,04/09/2015 15:30,10,4,4,500,Available
